question,total_responses,total_correct,p_difficulty,p_difficulty_percent
It can be inferred from paragraph 1 that ____________.,1228,282,0.23,23.0%
It can be inferred from the passage that ____________.,480,0,0.0,0.0%
It can be inferred from this passage that ____________.,1268,324,0.256,25.6%
It can be inferred from this passage that the woman ____________.,436,0,0.0,0.0%
It can be inferred that Edward Snowden is ____________.,480,186,0.388,38.8%
It can be inferred that ____________.,452,0,0.0,0.0%
It can be inferred that this position ____________.,404,178,0.441,44.1%
It can be inferred that workers in Johannesburg ____________.,548,412,0.752,75.2%
It is most likely the case that ____________.,436,76,0.174,17.4%
It turns out that scientists are looking forward to printing in 4D.,380,190,0.5,50.0%
It would be better if there were less light in this room.,452,140,0.31,31.0%
"It's possible for this to happen, isn't it?",380,186,0.489,48.9%
Joe and Sam's sister decided to park her car in their garage.,380,144,0.379,37.9%
"Johnson has been elected president, making her the first woman to take this role.",452,234,0.518,51.8%
Korean music has its influence far beyond East Asia.,404,292,0.723,72.3%
Lady Gaga is one of the most visible celebrities in the world.,792,418,0.528,52.8%
"Lean, finely textured beef is both pink and — like all ground beef — has a slimy texture.",380,180,0.474,47.4%
"Liberty and Peace were prepared ""to face,"" or to ____________, the press.",480,178,0.371,37.1%
LinkedIn Corp. will soon open up its online professional networking service to high school students.,480,244,0.508,50.8%
Lulea is an attractive location for businesses like Facebook because ____________.,452,0,0.0,0.0%
Management announced that lunch would be provided regularly.,452,236,0.522,52.2%
Marcela Davison Aviles _____________ the decision to call Sofia a Latina princess.,380,214,0.563,56.3%
Miller suggests avoiding coffee during time periods when the body is naturally more alert.,452,0,0.0,0.0%
"Minaj says Chanel, Versace, and Herve Leger were among her inspirations.",404,210,0.52,52.0%
Nine inches of rain in parts of West Virginia destroyed or damaged more than 100 homes.,436,346,0.794,79.4%
"Not only can animals be cute or cuddly, but they often trigger predictable emotions among humans.",452,170,0.376,37.6%
"Old ideas of what to eat—low-fat ice cream, diet soda, whatever—are shunted from the bobos to the masses, and new ones take their place.",548,0,0.0,0.0%
"Once they found out the pizzeria was still open, the siblings put in an order for multiple pizzas.",548,290,0.529,52.9%
One orangutan named Tori became addicted to smoking when guests continually fed her cigarettes.,548,356,0.65,65.0%
Output will increase to 81.76 million metric tons in 2013-2014 from an estimated 79.88 million tons in 2012.,380,110,0.289,28.9%
Paragraph 2 exists to ____________.,3448,1442,0.418,41.8%
Paragraph 3 exists to ____________.,2804,770,0.275,27.5%
Paragraph 4 implies that ____________.,452,268,0.593,59.3%
Paragraph 5 exists to ____________.,452,0,0.0,0.0%
"Paragraph 5 states that umami ""induces salivation"" which most likely means that ____________.",480,0,0.0,0.0%
Parents are more likely than those without children to partake in these two activities.,380,118,0.311,31.1%
Pasta infused with ____________ is trending lately.,548,0,0.0,0.0%
Philadelphia became the first major US city to vote to tax sugary drinks.,436,242,0.555,55.5%
Portugal needed the financial rescue after nervous investors stopped lending it money at affordable prices.,548,0,0.0,0.0%
Postal officials quickly sent for a worker to repaint it.,890,384,0.431,43.1%
President Jeffries has arranged to visit the emperor either this month or next month.,436,218,0.5,50.0%
Professionals are able to handle multiple clients at once.,436,242,0.555,55.5%
Professionals are able to walk multiple dogs at a time.,452,280,0.619,61.9%
Professor would refuse if you tried to pay her for her help.,548,342,0.624,62.4%
Research shows that diet and exercise are not the keys to weight loss and health.,480,154,0.321,32.1%
Rick Wagoner did NOT mention the ____________ of advanced batteries as a core competency for GM. ,452,216,0.478,47.8%
"Salt, olive oil, and fresh lemon juice are among her pantry staples.",436,188,0.431,43.1%
"Sanders, who wasn't properly trained for the role, injured his back and knee.",452,252,0.558,55.8%
Scientists around the world are working very hard now to find a cure to cancer.,792,426,0.538,53.8%
Scientists have long known that sleeping in a cool room can help you sleep more peacefully.,452,244,0.54,54.0%
Senator Rice has plans to visit either this week or next week.,404,130,0.322,32.2%
Several of the committee members shared their opinions on the proposal.,380,0,0.0,0.0%
She didn't eat the fudge caramel cheesecake because she was watching her figure.,404,0,0.0,0.0%
She does NOT mention ____________ in this passage.,452,216,0.478,47.8%
She found that the difference was minimal. ,452,272,0.602,60.2%
"She likes bananas, but she like apples more.",890,476,0.535,53.5%
She should choose a job that considers her own interests.,480,184,0.383,38.3%
She was always afraid of the water; nevertheless she became a scuba diver.,548,0,0.0,0.0%
"Should an express train be implemented, local stations between Church Av and Jay St-MetroTech would have 50% less peak service.",436,0,0.0,0.0%
"Since catching pneumonia in 1985, Hawking has needed around-the-clock care and relies on a computer and voice synthesizer to speak.",452,0,0.0,0.0%
"Since the desk is ""contoured"", it most likely ____________.",480,206,0.429,42.9%
Some characteristics of southern hospitality were described as early as 1835.,480,206,0.429,42.9%
Stanford's Miles Unterreiner will pull off a remarkable double Saturday that would be logistically impossible without help from his school and a huge assist by the NCAA.,480,0,0.0,0.0%
"Still, 2,500 Burger King stores will continue to offer Satisfries as a permanent menu item.",452,270,0.597,59.7%
"Still, the Brewers of Europe said in a statement that beer is ""being singled out"" compared to wine.",548,320,0.584,58.4%
Suzanne Barr most likely feels ____________.,380,0,0.0,0.0%
Teachers who insist on meeting parents in the absence of the child probably have concerns to address.,380,150,0.395,39.5%
"Thailand is swarming with cheap but risky cosmetic clinics, thanks to two powerful forces: Their prices are designed to attract the poor, and Thai society defines beauty as fair and delicate.",548,158,0.288,28.8%
That girl has the longest hair I've ever seen.,404,174,0.431,43.1%
"That's two deaths for every 100 million passengers on commercial flights, according to an Associated Press analysis of government accident data. ",436,262,0.601,60.1%
"The ""crusade"" that is mentioned here refers to ____________.",452,0,0.0,0.0%
"The ""near misses"" in paragraph 3 refer specifically to incidents that ____________.",436,0,0.0,0.0%
The European Chamber is not convinced that this has systematically been the case in China’s recent investigations.,404,176,0.436,43.6%
The Food and Drug Administration says it will begin cracking down on companies.,380,138,0.363,36.3%
The Info Ladies project was created in 2008 by local development group D.Net and other community organizations. ,380,230,0.605,60.5%
"The Metamorphosis' is a dark fantasy about a schizophrenic who believes he’s been turned into a human-sized beetle, terrorizing his family with his decrepit mental state.",548,306,0.558,55.8%
"The Serb entered the court wearing a Darth Vader mask on Halloween, and continued to put on a show by winning the first set in just 21 minutes.",548,212,0.387,38.7%
The United States will discuss how its efforts will effectively aide the civil war victims. ,548,0,0.0,0.0%
The added expense of these extra ingredients is more than offset by a given company’s ability to produce foods in mass quantities.,480,230,0.479,47.9%
The art curator's studio was filled with gorgeous antique wooden tables.,452,0,0.0,0.0%
The artist created this piece using large flat metal scraps.,480,218,0.454,45.4%
The author discusses breast cancer in order to __________.,380,0,0.0,0.0%
"The author mentions ""reclined seats, extended table trays, and briefcases"" in paragraph 1 in order to _____________.",452,168,0.372,37.2%
The author mentions Gisele Bunchen in paragraph 3 to show ____________.,380,200,0.526,52.6%
The author mentions the new levy in order to ____________.,380,168,0.442,44.2%
The book is exciting; it has been a bestseller for years now.,436,264,0.606,60.6%
The boss requested too much food for the meeting.,890,380,0.427,42.7%
The boy's painting is very colorful.,548,402,0.734,73.4%
The cashier does NOT ask for a ____________.,404,260,0.644,64.4%
The children were permitted to invite whomever they wanted to attend the celebration.,404,228,0.564,56.4%
The contest was overseen by director Ridley Scott.,380,226,0.595,59.5%
"The court's decision on online privacy, which cannot be appealed against, triggered a wave of internet alarm.",404,176,0.436,43.6%
The culprit refused to say to whom the video belonged.,452,156,0.345,34.5%
The day is beautiful.,792,594,0.75,75.0%
The dentist called for the next patient.,890,304,0.342,34.2%
The doctor studied the results carefully.,404,242,0.599,59.9%
The employee most likely asked if the computer was purchased at the store because ____________.,548,320,0.584,58.4%
"The employer did not give fair wages, nor did he agree to amend his ways.",548,338,0.617,61.7%
The first paragraph exists to ____________.,380,194,0.511,51.1%
The furnished apartment was under inspection all week because the former tenants had apparently gotten their furniture from a toxic area.,404,190,0.47,47.0%
The guests were encouraged to recommend whoever seemed qualified for the new position.,480,0,0.0,0.0%
The human body isn't designed to process this form of sugar at such high levels.,452,154,0.341,34.1%
The leader will give orders either today or tomorrow.,380,178,0.468,46.8%
The main idea of this passage is in paragraph ____________.,452,158,0.35,35.0%
"The main opposition, the Socialist Party, described the draft budget as ""brutal.""",548,256,0.467,46.7%
The man does NOT say that physical activity helped him learn how to ____________.,436,152,0.349,34.9%
The man’s main purpose is to ____________.,404,200,0.495,49.5%
The movie is very good; it has been popular in English for a long time now.,404,288,0.713,71.3%
The multicolored container was under inspection for weeks before being thrown out for safety purposes.,480,0,0.0,0.0%
The owner most likely hired security guards to ____________.,890,478,0.537,53.7%
The patient mailed the letter to the president.,792,324,0.409,40.9%
The phone call was most likely made ____________.,452,316,0.699,69.9%
The political debates helped viewers gain insight into what was worrying each party the most.,380,0,0.0,0.0%
The pressure is __________.,792,294,0.371,37.1%
"The problem appears to be caused by UltraMist's spray valve, which is over-applying the product, Energizer said in a statement.",380,172,0.453,45.3%
The purpose of Stephen's visit is to __________.,380,124,0.326,32.6%
The purpose of paragraph 4 is to ____________.,480,192,0.4,40.0%
The search giant now has brought its all-seeing eyes — mounted for the first time on a backpack — down into the Grand Canyon.,380,102,0.268,26.8%
The settlement still must be agreed to by town officials.,380,0,0.0,0.0%
"The six large outbreaks of twisters, which were especially deadly this year, can't be attributed to global warming.",452,0,0.0,0.0%
The skater managed to pull off the most complex stunt during the competition.,404,0,0.0,0.0%
The stadium must remain closed until there are no safety risks to the public attending events at the venue.,548,286,0.522,52.2%
The staff praised the members of the men’s basketball team for accepting their unfaithful coach’s apology.,452,0,0.0,0.0%
The system tracks student progress and is meant to tailor lessons to each student's level.,480,0,0.0,0.0%
The teachers would have been eligible to win the university-wide award if any of their students nominated them.,436,0,0.0,0.0%
The thousands of guests quickly packed the San Diego Convention Center for the sold out Comic-Con.,404,256,0.634,63.4%
The two moved in together and tabloids soon began predicting everything from marriage to babies for the new couple.,548,164,0.299,29.9%
"The way bilinguals ""performed"" in this study is most like the way ____________ would perform.",404,248,0.614,61.4%
"The word ""They"" in paragraph 2 refers to ____________.",380,84,0.221,22.1%
"The word ""generate"" in paragraph 3 is closest in meaning to ____________.",380,248,0.653,65.3%
"The word ""penalty"" in paragraph 3 is closest in meaning to ____________.",792,208,0.263,26.3%
"The word ""their"" in paragraph 4 refers to ____________.",380,130,0.342,34.2%
The word ‘remote’ is closest in meaning to ____________.,548,308,0.562,56.2%
"The world's biggest coffee producers are located in the ""Bean Belt.""",890,458,0.515,51.5%
There needed to be less water in the fish tank for it to not splash all over the place.,436,262,0.601,60.1%
There needed to be less water in the pool for it to not overflow.,404,166,0.411,41.1%
"There was enough food for everyone at the party, so everyone left feeling full and satisfied.",404,246,0.609,60.9%
There were fewer than 10 issues that were discussed at the summit.,480,0,0.0,0.0%
There were fewer than 15 people that showed up to the conference.,548,0,0.0,0.0%
There will always be a chord beyond your tiredness and frustration.,480,234,0.488,48.8%
"These arguments he discards for lack of evidence—but when it comes to slimming down the masses with junk-food engineering, Freedman's fine to cross his fingers and hope it all works out.",480,0,0.0,0.0%
They bought plates that were smaller than the plates they had before.,548,350,0.639,63.9%
"They didn't leave yet, did they?",480,188,0.392,39.2%
"They have two children; one is four years old, and the other is two years old.",404,316,0.782,78.2%
"This audio implies that a ""shared culture"" is __________.",380,0,0.0,0.0%
"This drug has been studied significantly, but never in a clinical trial on humans.",452,196,0.434,43.4%
This graduation speech would be great if the message were relevant to the students.,452,142,0.314,31.4%
This haircut is terrible.,436,264,0.606,60.6%
This hamburger is made from ____________.,890,248,0.279,27.9%
This is a great opportunity to sit down with friends to talk.,404,240,0.594,59.4%
This passage is a/an ____________.,404,204,0.505,50.5%
This passage is mainly about Netflix's ____________.,548,316,0.577,57.7%
This passage is mainly about ____________.,816,520,0.637,63.7%
This sunrise is beautiful.,404,336,0.832,83.2%
"This week, luxury hotel brand the Four Seasons has followed suit, launching a new app that allows guests to make special requests, check in and check out, and seek out local recommendations.",436,162,0.372,37.2%
"To ""give ground"" means to __________.",380,140,0.368,36.8%
"To add to the drama will be the presence in the parliament of so many populist parties, most of them anti-European.",548,0,0.0,0.0%
"To open the conversation with such a vitriolic attack is clearly the politician's way of saying ""the gloves have come off.""",436,0,0.0,0.0%
"To try to answer the question of whether gallery clusters actually jumpstart transformation, Schuetz looks at every city block in Manhattan to see if there is evidence of accelerated development in the years after an art gallery moved into a neighborhood.",404,0,0.0,0.0%
"To whom is Obama referring when he says ""we""?",380,196,0.516,51.6%
"Tom won't forget, will he?",404,192,0.475,47.5%
Turtles move slowly.,792,254,0.321,32.1%
"Two other regions voted against the proposal, which was eventually approved.",548,316,0.577,57.7%
Warren Weir took third.,480,222,0.462,46.2%
"We can adopt measures that aren't very nice, but are absolutely necessary.",436,310,0.711,71.1%
"We have enough milk for coffee, don't we?",436,206,0.472,47.2%
"We love this bouquet of flowers, don't we?",452,204,0.451,45.1%
We should look into some of the issues that were brought to our attention at the last meeting.,480,204,0.425,42.5%
"We were hopeful that the law would be overturned some day, but we were completely stunned that it came when it did.",452,242,0.535,53.5%
"We're going to the show, aren't we?",548,300,0.547,54.7%
What are Uggie’s future plans?,548,372,0.679,67.9%
What are some European countries being asked to do?,548,390,0.712,71.2%
What can be inferred about Newsweek Global?,548,0,0.0,0.0%
What can be inferred from paragraph 4?,760,108,0.142,14.2%
What can be inferred from the passage?,480,0,0.0,0.0%
What can be inferred from the text?,480,132,0.275,27.5%
What can be inferred from this conversation?,404,228,0.564,56.4%
What can be inferred from this passage?,4180,856,0.205,20.5%
What can be inferred from this report?,404,0,0.0,0.0%
What can we infer from the passage?,808,108,0.134,13.4%
What can we tell from the conversation?,404,222,0.55,55.0%
What climatic issues does Obama NOT mention specifically?,548,364,0.664,66.4%
What did NOT happen because of the snow?,548,356,0.65,65.0%
"What does ""that'll do it"" mean in this conversation?",548,416,0.759,75.9%
What does Obama think of the climate change issue?,548,266,0.485,48.5%
What does the $50 cover?,548,270,0.493,49.3%
What does the U.S. plan to do with Snowden?,480,118,0.246,24.6%
What does the customer need to buy?,548,352,0.642,64.2%
What does the customer order?,404,308,0.762,76.2%
What does the man want in his sub?,548,374,0.682,68.2%
What does this exhibition feature?,404,234,0.579,57.9%
What feature is the product known for?,480,148,0.308,30.8%
What happened to Baby Shaker?,404,0,0.0,0.0%
What happens to items that are confiscated?,452,78,0.173,17.3%
What information is NOT given?,548,410,0.748,74.8%
"What is ""getting in the way"" of a shared culture?",380,0,0.0,0.0%
What is Connie Vincent’s profession?,792,348,0.439,43.9%
What is Eric Schmidt's current job?,452,248,0.549,54.9%
What is NOT downtown?,380,196,0.516,51.6%
What is NOT mentioned in this passage?,436,196,0.45,45.0%
What is NOT true about the reviewer?,480,204,0.425,42.5%
What is NOT true about this article?,1096,270,0.246,24.6%
What is NOT true about this passage?,932,126,0.135,13.5%
What is NOT true about umami?,480,0,0.0,0.0%
What is NOT true according to this passage?,480,208,0.433,43.3%
What is Stephen's friend doing?,480,0,0.0,0.0%
What is a possible outcome of the Nokia purchase?,480,0,0.0,0.0%
"What is going to be ""monitored""?",452,152,0.336,33.6%
What is inferred from this speech?,928,354,0.381,38.1%
What is most likely the cause for the shift to an all-digital format?,548,0,0.0,0.0%
"What is most likely the reporter’s attitude toward ""Baby Shaker""?",404,0,0.0,0.0%
What is most likely the significance of having “Info Ladies”?,548,328,0.599,59.9%
What is not stated as a possible reason for the change in airplane safety?,436,0,0.0,0.0%
What is so special about Liberty and Peace?,480,270,0.562,56.2%
