question,point_biserial,p_value
"Connie Vincent, a mail carrier, was already sweating as she began her rounds in the new residential neighborhood.",0.3102,<0.0001
Could I come over on a Thursday afternoon sometime?,0.1443,<0.0001
"Craig Gerber, co-executive producer of ""Sofia the First,"" clarified in a Facebook post on Friday that Sofia is ""a mixed-heritage princess in a fairytale world.""",0.091,0.0001
Do you mind turning down the volume? It's really loud in here.,nan,<0.0001
Does Angela normally go to this doctor?,-0.0127,0.5933
Eating a hearty breakfast and (no article) lunch might benefit people who are suffering from Type 2 diabetes.,0.167,<0.0001
"Eliza Cicero, a financial analyst, was preparing for her last meeting when she received a call about the flooded office space.",0.1696,<0.0001
"Europe’s leaders need to cut the power of Brussels in many areas, but in some they need to extend it.",0.3501,<0.0001
Everyone knows how much playing for my country has always meant to me.,0.1839,<0.0001
"Everyone signed the petition to open the zoo back up, yet it remained closed.",0.1696,<0.0001
"Facebook moved into its new Frank Gehry-designed headquarters in Silicon Valley, with a rooftop park and ""the largest open-plan office in the world.""",nan,<0.0001
Flag-waving Spanish workers livid over labor market reforms they see as flagrantly pro-business blocked traffic Thursday.,nan,<0.0001
Food rations were given to whoever signed the petition first.,0.2537,<0.0001
"Food safety is a scientific discipline describing handling, preparation, and storage of food in ways that prevent foodborne illness.",nan,<0.0001
"For some people, the bear deep in the woods is easy to see while others have much difficulty doing so.",0.1886,<0.0001
Foreign investors are helping Europe’s troubled businesses out of difficulty.,0.075,0.0017
Freedman says they're putting customers on track to eliminate a few hundred calories a day from their diets.,0.1767,<0.0001
"Given the labor intensity of organic farming, the yield is often smaller than a factory farm.",0.2381,<0.0001
"Had I known that the traffic was so bad, I would have chosen to take the Brooklyn Bridge instead.",nan,<0.0001
"Had I known the movie was so violent, I wouldn't have let my children watch it.",nan,<0.0001
"Having a ""closet packed with skeletons"" in paragraph 3 most likely means that ____________.",nan,<0.0001
Hawaii has been producing coffee since the mid-nineteenth century.,0.1085,<0.0001
He was planning a surprise picnic for his wife when he found out about the severe weather conditions.,0.2239,<0.0001
He will visit Linda in the hospital today.,0.1472,<0.0001
He's very popular so he has a lot of friends.,0.3342,<0.0001
Her actions responded to a shifting landscape of consumption and a philosophy of eating that was filtering down from foodies to everyone else.,nan,<0.0001
Hospitals in the city that deliver babies will no longer hand out promotional formula.,0.1662,<0.0001
How can you purchase tickets?,0.1956,<0.0001
How did Apple respond to this issue?,nan,<0.0001
How fast did Bolt run the 200 meters?,0.1515,<0.0001
How high can it go?,0.2142,<0.0001
How long does the show last?,0.1702,<0.0001
How long is the product?,0.1468,<0.0001
How many gold medals does Bolt have now?,0.1653,<0.0001
How many officers so far have admitted to discriminatory actions and abuse toward Latinos?,nan,<0.0001
How much are they spending on the hamburger?,-0.0646,0.0068
How much does Mark Mahaney want a Netflix share to cost?,0.3392,<0.0001
How much money is Google expected to make this year?,0.0948,<0.0001
"However, it's not just in education where people are starting to take note.",0.1705,<0.0001
I am afraid to go to bed in the dark.,0.1055,<0.0001
I am deeply excited and honored to join you.,0.3131,<0.0001
I can think of a few situations where animals should stay in the zoo.,0.1763,<0.0001
"I had looked everywhere for the little dog without any luck, which was making me increasingly frustrated.",0.1582,<0.0001
I look for new ways to cook fish every week.,0.1265,<0.0001
"I told her to do whatever she wanted, and I could not be happier with the results.",0.1274,<0.0001
I'm having some trouble with these boxes. Will you please help me move them?,nan,<0.0001
"If grilling all the vegetables is the best idea, go ahead and do it.",0.1568,<0.0001
"If it had rained even a little more, roads would have been closed for another day.",nan,<0.0001
"If nominated by one of their employees, the CEOs at the conference would have been eligible to receive the award.",nan,<0.0001
"If the Europeans could have foreseen the cataclysm that would befall the world on Aug. 4th of 1914, they would not have declared World War I.",nan,<0.0001
"If the butterflies are ""free-flying"" it means that they ____________.",0.2012,<0.0001
"If the children were sicker, they would need to go to an urgent care clinic.",0.03,0.2093
"If the children were smaller, they would not be able to go on the ride.",0.1973,<0.0001
"If the passage were to continue, what would most likely be discussed next?",0.1777,<0.0001
"If there had been even one more person, we would not have fit in the car.",0.1667,<0.0001
"If weather conditions were worse, the roads would be closed.",0.2041,<0.0001
"If you eat now, you will be hungry later.",0.3265,<0.0001
"If you have fewer than 10 items in your basket, you can be in the express line.",nan,<0.0001
"If you want a friend in Washington, get a dog.",-0.0157,0.5108
Imagine the many people who are traveling around hundreds of miles of streets; how are they going to find the right way? ,0.1614,<0.0001
"In paragraph 2, Steve Jobs expresses that he thinks ____________.",0.1539,<0.0001
"In paragraph 3, ""had a field day"" most likely means that Pulitzer ____________,",nan,<0.0001
"In response to Apple's criticisms, Adobe ____________.",0.2058,<0.0001
Is she buying a new car today?,0.3308,<0.0001
Is this Stephen's first time visiting?,0.1717,<0.0001
It can be inferred from paragraph 1 that Havaianas are ____________.,0.1725,<0.0001
It can be inferred from paragraph 1 that ____________.,0.0544,0.0225
It can be inferred from the passage that ____________.,nan,<0.0001
It can be inferred from this passage that ____________.,0.1942,<0.0001
It can be inferred from this passage that the woman ____________.,nan,<0.0001
It can be inferred that Edward Snowden is ____________.,0.2271,<0.0001
It can be inferred that ____________.,nan,<0.0001
It can be inferred that this position ____________.,0.1888,<0.0001
It can be inferred that workers in Johannesburg ____________.,0.3392,<0.0001
It is most likely the case that ____________.,0.0477,0.0455
It turns out that scientists are looking forward to printing in 4D.,0.1648,<0.0001
It would be better if there were less light in this room.,0.0899,0.0002
"It's possible for this to happen, isn't it?",0.1624,<0.0001
Joe and Sam's sister decided to park her car in their garage.,0.1253,<0.0001
"Johnson has been elected president, making her the first woman to take this role.",0.1843,<0.0001
Korean music has its influence far beyond East Asia.,0.2105,<0.0001
Lady Gaga is one of the most visible celebrities in the world.,0.0128,0.593
"Lean, finely textured beef is both pink and — like all ground beef — has a slimy texture.",0.1342,<0.0001
"Liberty and Peace were prepared ""to face,"" or to ____________, the press.",0.2246,<0.0001
LinkedIn Corp. will soon open up its online professional networking service to high school students.,0.1794,<0.0001
Lulea is an attractive location for businesses like Facebook because ____________.,nan,<0.0001
Management announced that lunch would be provided regularly.,0.1615,<0.0001
Marcela Davison Aviles _____________ the decision to call Sofia a Latina princess.,0.1746,<0.0001
Miller suggests avoiding coffee during time periods when the body is naturally more alert.,nan,<0.0001
"Minaj says Chanel, Versace, and Herve Leger were among her inspirations.",0.2283,<0.0001
Nine inches of rain in parts of West Virginia destroyed or damaged more than 100 homes.,0.1095,<0.0001
"Not only can animals be cute or cuddly, but they often trigger predictable emotions among humans.",0.1025,<0.0001
"Old ideas of what to eat—low-fat ice cream, diet soda, whatever—are shunted from the bobos to the masses, and new ones take their place.",nan,<0.0001
"Once they found out the pizzeria was still open, the siblings put in an order for multiple pizzas.",0.34,<0.0001
One orangutan named Tori became addicted to smoking when guests continually fed her cigarettes.,0.3065,<0.0001
Output will increase to 81.76 million metric tons in 2013-2014 from an estimated 79.88 million tons in 2012.,0.1284,<0.0001
Paragraph 2 exists to ____________.,0.4941,<0.0001
Paragraph 3 exists to ____________.,0.4562,<0.0001
Paragraph 4 implies that ____________.,0.1807,<0.0001
Paragraph 5 exists to ____________.,nan,<0.0001
"Paragraph 5 states that umami ""induces salivation"" which most likely means that ____________.",nan,<0.0001
Parents are more likely than those without children to partake in these two activities.,0.1485,<0.0001
Pasta infused with ____________ is trending lately.,nan,<0.0001
Philadelphia became the first major US city to vote to tax sugary drinks.,0.1712,<0.0001
Portugal needed the financial rescue after nervous investors stopped lending it money at affordable prices.,nan,<0.0001
Postal officials quickly sent for a worker to repaint it.,0.0719,0.0026
President Jeffries has arranged to visit the emperor either this month or next month.,0.1685,<0.0001
Professionals are able to handle multiple clients at once.,0.1508,<0.0001
Professionals are able to walk multiple dogs at a time.,0.1643,<0.0001
Professor would refuse if you tried to pay her for her help.,0.3534,<0.0001
Research shows that diet and exercise are not the keys to weight loss and health.,0.1901,<0.0001
Rick Wagoner did NOT mention the ____________ of advanced batteries as a core competency for GM. ,0.1794,<0.0001
"Salt, olive oil, and fresh lemon juice are among her pantry staples.",0.1645,<0.0001
"Sanders, who wasn't properly trained for the role, injured his back and knee.",0.1777,<0.0001
Scientists around the world are working very hard now to find a cure to cancer.,-0.026,0.2756
Scientists have long known that sleeping in a cool room can help you sleep more peacefully.,0.1669,<0.0001
Senator Rice has plans to visit either this week or next week.,0.1947,<0.0001
Several of the committee members shared their opinions on the proposal.,nan,<0.0001
She didn't eat the fudge caramel cheesecake because she was watching her figure.,nan,<0.0001
She does NOT mention ____________ in this passage.,0.1461,<0.0001
She found that the difference was minimal. ,0.1695,<0.0001
"She likes bananas, but she like apples more.",-0.0001,0.997
She should choose a job that considers her own interests.,0.178,<0.0001
She was always afraid of the water; nevertheless she became a scuba diver.,nan,<0.0001
"Should an express train be implemented, local stations between Church Av and Jay St-MetroTech would have 50% less peak service.",nan,<0.0001
"Since catching pneumonia in 1985, Hawking has needed around-the-clock care and relies on a computer and voice synthesizer to speak.",nan,<0.0001
"Since the desk is ""contoured"", it most likely ____________.",0.186,<0.0001
Some characteristics of southern hospitality were described as early as 1835.,0.2084,<0.0001
Stanford's Miles Unterreiner will pull off a remarkable double Saturday that would be logistically impossible without help from his school and a huge assist by the NCAA.,nan,<0.0001
"Still, 2,500 Burger King stores will continue to offer Satisfries as a permanent menu item.",0.1573,<0.0001
"Still, the Brewers of Europe said in a statement that beer is ""being singled out"" compared to wine.",0.3357,<0.0001
Suzanne Barr most likely feels ____________.,nan,<0.0001
Teachers who insist on meeting parents in the absence of the child probably have concerns to address.,0.1642,<0.0001
"Thailand is swarming with cheap but risky cosmetic clinics, thanks to two powerful forces: Their prices are designed to attract the poor, and Thai society defines beauty as fair and delicate.",0.2141,<0.0001
That girl has the longest hair I've ever seen.,0.1401,<0.0001
"That's two deaths for every 100 million passengers on commercial flights, according to an Associated Press analysis of government accident data. ",0.1465,<0.0001
"The ""crusade"" that is mentioned here refers to ____________.",nan,<0.0001
"The ""near misses"" in paragraph 3 refer specifically to incidents that ____________.",nan,<0.0001
The European Chamber is not convinced that this has systematically been the case in China’s recent investigations.,0.2338,<0.0001
The Food and Drug Administration says it will begin cracking down on companies.,0.1634,<0.0001
The Info Ladies project was created in 2008 by local development group D.Net and other community organizations. ,0.1285,<0.0001
"The Metamorphosis' is a dark fantasy about a schizophrenic who believes he’s been turned into a human-sized beetle, terrorizing his family with his decrepit mental state.",0.3382,<0.0001
"The Serb entered the court wearing a Darth Vader mask on Halloween, and continued to put on a show by winning the first set in just 21 minutes.",0.2181,<0.0001
The United States will discuss how its efforts will effectively aide the civil war victims. ,nan,<0.0001
The added expense of these extra ingredients is more than offset by a given company’s ability to produce foods in mass quantities.,0.1708,<0.0001
The art curator's studio was filled with gorgeous antique wooden tables.,nan,<0.0001
The artist created this piece using large flat metal scraps.,0.2162,<0.0001
The author discusses breast cancer in order to __________.,nan,<0.0001
"The author mentions ""reclined seats, extended table trays, and briefcases"" in paragraph 1 in order to _____________.",0.1608,<0.0001
The author mentions Gisele Bunchen in paragraph 3 to show ____________.,0.1715,<0.0001
The author mentions the new levy in order to ____________.,0.1633,<0.0001
The book is exciting; it has been a bestseller for years now.,0.0941,<0.0001
The boss requested too much food for the meeting.,-0.0409,0.0868
The boy's painting is very colorful.,0.3185,<0.0001
The cashier does NOT ask for a ____________.,0.2187,<0.0001
The children were permitted to invite whomever they wanted to attend the celebration.,0.1982,<0.0001
The contest was overseen by director Ridley Scott.,0.1716,<0.0001
"The court's decision on online privacy, which cannot be appealed against, triggered a wave of internet alarm.",0.2003,<0.0001
The culprit refused to say to whom the video belonged.,0.1365,<0.0001
The day is beautiful.,-0.1999,<0.0001
The dentist called for the next patient.,0.1219,<0.0001
The doctor studied the results carefully.,0.2056,<0.0001
The employee most likely asked if the computer was purchased at the store because ____________.,0.313,<0.0001
"The employer did not give fair wages, nor did he agree to amend his ways.",0.3753,<0.0001
The first paragraph exists to ____________.,0.1692,<0.0001
The furnished apartment was under inspection all week because the former tenants had apparently gotten their furniture from a toxic area.,0.207,<0.0001
The guests were encouraged to recommend whoever seemed qualified for the new position.,nan,<0.0001
The human body isn't designed to process this form of sugar at such high levels.,0.1561,<0.0001
The leader will give orders either today or tomorrow.,0.1518,<0.0001
The main idea of this passage is in paragraph ____________.,0.1465,<0.0001
"The main opposition, the Socialist Party, described the draft budget as ""brutal.""",0.3091,<0.0001
The man does NOT say that physical activity helped him learn how to ____________.,0.1451,<0.0001
The man’s main purpose is to ____________.,0.2073,<0.0001
The movie is very good; it has been popular in English for a long time now.,0.201,<0.0001
The multicolored container was under inspection for weeks before being thrown out for safety purposes.,nan,<0.0001
The owner most likely hired security guards to ____________.,0.0497,0.0371
The patient mailed the letter to the president.,0.0662,0.0055
The phone call was most likely made ____________.,0.1386,<0.0001
The political debates helped viewers gain insight into what was worrying each party the most.,nan,<0.0001
The pressure is __________.,-0.0169,0.4796
"The problem appears to be caused by UltraMist's spray valve, which is over-applying the product, Energizer said in a statement.",0.134,<0.0001
The purpose of Stephen's visit is to __________.,0.1466,<0.0001
The purpose of paragraph 4 is to ____________.,0.1979,<0.0001
The search giant now has brought its all-seeing eyes — mounted for the first time on a backpack — down into the Grand Canyon.,0.1083,<0.0001
The settlement still must be agreed to by town officials.,nan,<0.0001
"The six large outbreaks of twisters, which were especially deadly this year, can't be attributed to global warming.",nan,<0.0001
The skater managed to pull off the most complex stunt during the competition.,nan,<0.0001
The stadium must remain closed until there are no safety risks to the public attending events at the venue.,0.3255,<0.0001
The staff praised the members of the men’s basketball team for accepting their unfaithful coach’s apology.,nan,<0.0001
The system tracks student progress and is meant to tailor lessons to each student's level.,nan,<0.0001
The teachers would have been eligible to win the university-wide award if any of their students nominated them.,nan,<0.0001
The thousands of guests quickly packed the San Diego Convention Center for the sold out Comic-Con.,0.2072,<0.0001
The two moved in together and tabloids soon began predicting everything from marriage to babies for the new couple.,0.2028,<0.0001
"The way bilinguals ""performed"" in this study is most like the way ____________ would perform.",0.1712,<0.0001
"The word ""They"" in paragraph 2 refers to ____________.",0.1393,<0.0001
"The word ""generate"" in paragraph 3 is closest in meaning to ____________.",0.1667,<0.0001
"The word ""penalty"" in paragraph 3 is closest in meaning to ____________.",0.0568,0.0173
"The word ""their"" in paragraph 4 refers to ____________.",0.1377,<0.0001
The word ‘remote’ is closest in meaning to ____________.,0.293,<0.0001
"The world's biggest coffee producers are located in the ""Bean Belt.""",0.0312,0.191
There needed to be less water in the fish tank for it to not splash all over the place.,0.1316,<0.0001
There needed to be less water in the pool for it to not overflow.,0.155,<0.0001
"There was enough food for everyone at the party, so everyone left feeling full and satisfied.",0.2157,<0.0001
There were fewer than 10 issues that were discussed at the summit.,nan,<0.0001
There were fewer than 15 people that showed up to the conference.,nan,<0.0001
There will always be a chord beyond your tiredness and frustration.,0.2287,<0.0001
"These arguments he discards for lack of evidence—but when it comes to slimming down the masses with junk-food engineering, Freedman's fine to cross his fingers and hope it all works out.",nan,<0.0001
They bought plates that were smaller than the plates they had before.,0.3184,<0.0001
"They didn't leave yet, did they?",0.1842,<0.0001
"They have two children; one is four years old, and the other is two years old.",0.1779,<0.0001
"This audio implies that a ""shared culture"" is __________.",nan,<0.0001
"This drug has been studied significantly, but never in a clinical trial on humans.",0.1585,<0.0001
This graduation speech would be great if the message were relevant to the students.,0.1607,<0.0001
This haircut is terrible.,0.1281,<0.0001
This hamburger is made from ____________.,0.1607,<0.0001
This is a great opportunity to sit down with friends to talk.,0.2074,<0.0001
This passage is a/an ____________.,0.214,<0.0001
This passage is mainly about Netflix's ____________.,0.3563,<0.0001
This passage is mainly about ____________.,0.2192,<0.0001
This sunrise is beautiful.,0.1851,<0.0001
"This week, luxury hotel brand the Four Seasons has followed suit, launching a new app that allows guests to make special requests, check in and check out, and seek out local recommendations.",0.1767,<0.0001
"To ""give ground"" means to __________.",0.1656,<0.0001
"To add to the drama will be the presence in the parliament of so many populist parties, most of them anti-European.",nan,<0.0001
"To open the conversation with such a vitriolic attack is clearly the politician's way of saying ""the gloves have come off.""",nan,<0.0001
"To try to answer the question of whether gallery clusters actually jumpstart transformation, Schuetz looks at every city block in Manhattan to see if there is evidence of accelerated development in the years after an art gallery moved into a neighborhood.",nan,<0.0001
"To whom is Obama referring when he says ""we""?",0.1651,<0.0001
"Tom won't forget, will he?",0.1936,<0.0001
Turtles move slowly.,0.0241,0.3123
"Two other regions voted against the proposal, which was eventually approved.",0.317,<0.0001
Warren Weir took third.,0.1869,<0.0001
"We can adopt measures that aren't very nice, but are absolutely necessary.",0.1329,<0.0001
"We have enough milk for coffee, don't we?",0.1814,<0.0001
"We love this bouquet of flowers, don't we?",0.1812,<0.0001
We should look into some of the issues that were brought to our attention at the last meeting.,0.2248,<0.0001
"We were hopeful that the law would be overturned some day, but we were completely stunned that it came when it did.",0.19,<0.0001
"We're going to the show, aren't we?",0.2971,<0.0001
What are Uggie’s future plans?,0.3513,<0.0001
What are some European countries being asked to do?,0.3469,<0.0001
What can be inferred about Newsweek Global?,nan,<0.0001
What can be inferred from paragraph 4?,0.1303,<0.0001
What can be inferred from the passage?,nan,<0.0001
What can be inferred from the text?,0.0966,<0.0001
What can be inferred from this conversation?,0.2213,<0.0001
What can be inferred from this passage?,0.2617,<0.0001
What can be inferred from this report?,nan,<0.0001
What can we infer from the passage?,0.1584,<0.0001
What can we tell from the conversation?,0.1653,<0.0001
What climatic issues does Obama NOT mention specifically?,0.3232,<0.0001
What did NOT happen because of the snow?,0.3506,<0.0001
"What does ""that'll do it"" mean in this conversation?",0.3215,<0.0001
What does Obama think of the climate change issue?,0.2794,<0.0001
What does the $50 cover?,0.3102,<0.0001
What does the U.S. plan to do with Snowden?,0.0994,<0.0001
What does the customer need to buy?,0.3355,<0.0001
What does the customer order?,0.1568,<0.0001
What does the man want in his sub?,0.2733,<0.0001
What does this exhibition feature?,0.1683,<0.0001
What feature is the product known for?,0.1542,<0.0001
What happened to Baby Shaker?,nan,<0.0001
What happens to items that are confiscated?,0.0726,0.0023
What information is NOT given?,0.2821,<0.0001
"What is ""getting in the way"" of a shared culture?",nan,<0.0001
What is Connie Vincent’s profession?,0.0416,0.0815
What is Eric Schmidt's current job?,0.176,<0.0001
What is NOT downtown?,0.1732,<0.0001
What is NOT mentioned in this passage?,0.1498,<0.0001
What is NOT true about the reviewer?,0.1882,<0.0001
What is NOT true about this article?,0.3208,<0.0001
What is NOT true about this passage?,0.1421,<0.0001
What is NOT true about umami?,nan,<0.0001
What is NOT true according to this passage?,0.2019,<0.0001
What is Stephen's friend doing?,nan,<0.0001
What is a possible outcome of the Nokia purchase?,nan,<0.0001
"What is going to be ""monitored""?",0.1474,<0.0001
What is inferred from this speech?,0.299,<0.0001
What is most likely the cause for the shift to an all-digital format?,nan,<0.0001
"What is most likely the reporter’s attitude toward ""Baby Shaker""?",nan,<0.0001
What is most likely the significance of having “Info Ladies”?,0.3587,<0.0001
What is not stated as a possible reason for the change in airplane safety?,nan,<0.0001
What is so special about Liberty and Peace?,0.1644,<0.0001
What is something Stephen forgot?,nan,<0.0001
What is something that is not mentioned in this passage?,0.1503,<0.0001
What is something that the woman does NOT say?,nan,<0.0001
What is the customer’s apartment number?,0.2003,<0.0001
What is the difference between Liberty and Peace and the two unnamed turkeys mentioned in the audio?,0.2199,<0.0001
What is the goal of this project?,0.0354,0.1378
What is the goal of this study?,0.1157,<0.0001
What is the main idea of this passage?,0.1417,<0.0001
What is the man’s character supposed to do?,0.1764,<0.0001
What is the most popular smoothie?,0.2747,<0.0001
What is the passage mainly about?,0.2076,<0.0001
What is the primary quality of an ideal candidate?,0.1969,<0.0001
What is the purpose of referring to Shakespeare in this passage?,nan,<0.0001
What is the purpose of the book?,0.1322,<0.0001
What is the response of Hispanic advocacy groups to Walt Disney Co.’s new princess?,0.1551,<0.0001
What is this passage about?,0.1851,<0.0001
What is this passage mainly about?,0.2451,<0.0001
What is true about Smokers' Helpline?,0.1593,<0.0001
What is true about the item?,0.133,<0.0001
What is true about the passage?,0.1589,<0.0001
What is true about the tickets the airline employee recommends?,0.1565,<0.0001
What is true about the tickets?,0.0925,0.0001
What is true about this conversation?,0.3898,<0.0001
What is true about this passage?,0.173,<0.0001
What is true according to this audio?,nan,<0.0001
What is true according to this passage?,0.1265,<0.0001
What is unusual about this hamburger?,0.0917,0.0001
What kinds of tickets does this office sell?,0.1739,<0.0001
What made this situation a “kick in the teeth”?,0.3514,<0.0001
What noteworthy change does President Obama mention in his speech?,0.0626,0.0086
What seems to be the author’s attitude toward journalistic sensationalism?,nan,<0.0001
What size hard drive does the customer need to get?,0.3027,<0.0001
What time is the appointment?,-0.1126,<0.0001
What was NOT mentioned in this audio?,nan,<0.0001
What was NOT mentioned in this passage?,nan,<0.0001
What was the best food you had in the past year?,-0.0602,0.0116
What were the “unfounded allegations designed to destroy [his/her] career”?,nan,<0.0001
What will Liberty do afterwards? ,0.1805,<0.0001
