question,user_answer,total_selected,total_correct,total_responses,pct_selected,pct_correct,correct_answer
"""Gleaned"" as used in this passage is closest in meaning to ____________.",derived,74,74,218,0.339,1,
"""Gleaned"" as used in this passage is closest in meaning to ____________.",I don't know,37,0,218,0.17,0,
"""Gleaned"" as used in this passage is closest in meaning to ____________.",selected,66,0,218,0.303,0,
"""Handy"" used here means that you are ____________.",bad at fixing things,36,0,218,0.165,0,good at fixing things
"""Handy"" used here means that you are ____________.",careful,6,0,218,0.028,0,
"""Handy"" used here means that you are ____________.",clumsy,2,0,218,0.009,0,
"""Handy"" used here means that you are ____________.",good at fixing things,148,148,218,0.679,1,
"""Handy"" used here means that you are ____________.",I don't know,26,0,218,0.119,0,
"""He just asked me about my surgery and asked me how I had been since Wimbledon,"" said Murray.",almost,37,0,274,0.135,0,just
"""He just asked me about my surgery and asked me how I had been since Wimbledon,"" said Murray.",just,136,136,274,0.496,1,
"""He just asked me about my surgery and asked me how I had been since Wimbledon,"" said Murray.",I don't know,17,0,274,0.062,0,
"""He just asked me about my surgery and asked me how I had been since Wimbledon,"" said Murray.",soon,68,0,274,0.248,0,
"""He just asked me about my surgery and asked me how I had been since Wimbledon,"" said Murray.",yet,16,0,274,0.058,0,
"""High-end"" in paragraph 3 is closest in meaning to ____________.",cheap,13,0,202,0.064,0,expensive
"""High-end"" in paragraph 3 is closest in meaning to ____________.",expensive,112,112,202,0.554,1,
"""High-end"" in paragraph 3 is closest in meaning to ____________.",free,19,0,202,0.094,0,
"""High-end"" in paragraph 3 is closest in meaning to ____________.",I don't know,23,0,202,0.114,0,
"""High-end"" in paragraph 3 is closest in meaning to ____________.",tall,35,0,202,0.173,0,
"""It"" in paragraph 2 refers to ____________.","Beyonce's album ""4""",108,0,226,0.478,0,"the song ""I Was Here"""
"""It"" in paragraph 2 refers to ____________.",I don't know,26,0,226,0.115,0,
"""It"" in paragraph 2 refers to ____________.",the interview,24,0,226,0.106,0,
"""It"" in paragraph 2 refers to ____________.",the phone,14,0,226,0.062,0,
"""It"" in paragraph 2 refers to ____________.","the song ""I Was Here""",54,54,226,0.239,1,
"""Left behind"" as used in this passage means that something was ____________.",destroyed,18,0,218,0.083,0,forgotten
"""Left behind"" as used in this passage means that something was ____________.",forgotten,93,93,218,0.427,1,
"""Left behind"" as used in this passage means that something was ____________.",lost,66,0,218,0.303,0,
"""Left behind"" as used in this passage means that something was ____________.",I don't know,26,0,218,0.119,0,
"""Left behind"" as used in this passage means that something was ____________.",stolen,15,0,218,0.069,0,
"""My goodness"" in this conversation was used to express __________.",anger,42,0,396,0.106,0,surprise
"""My goodness"" in this conversation was used to express __________.",delight,46,0,396,0.116,0,
"""My goodness"" in this conversation was used to express __________.",disbelief,80,0,396,0.202,0,
"""My goodness"" in this conversation was used to express __________.",I don't know,83,0,396,0.21,0,
"""My goodness"" in this conversation was used to express __________.",surprise,145,145,396,0.366,1,
"""Out of touch"" as used in this conversation most likely means __________.",Stephen and his friend have physically not seen each other in a long time,18,0,190,0.095,0,Stephen's friend does not know the city that well
"""Out of touch"" as used in this conversation most likely means __________.",Stephen's friend does not know that Stephen is going to visit,31,0,190,0.163,0,
"""Out of touch"" as used in this conversation most likely means __________.",Stephen's friend does not know the city that well,69,69,190,0.363,1,
"""Out of touch"" as used in this conversation most likely means __________.",Stephen's friend no longer knows what the latest in news is,49,0,190,0.258,0,
"""Out of touch"" as used in this conversation most likely means __________.",I don't know,23,0,190,0.121,0,
"""Painstakingly"" used here is closest in meaning to ____________.",I don't know,218,0,218,1,0,meticulously
"""Palatable"" in paragraph 5 is closest in meaning to ____________.",I don't know,240,0,240,1,0,delectable
"""Pushing"" used here is closest in meaning to ____________.",I don't know,226,0,226,1,0,urging
"""Repelled"" in paragraph 3 is used to show that migrants were ____________.",confused,12,0,226,0.053,0,pushed away
"""Repelled"" in paragraph 3 is used to show that migrants were ____________.",disgusted,15,0,226,0.066,0,
"""Repelled"" in paragraph 3 is used to show that migrants were ____________.",I don't know,35,0,226,0.155,0,
"""Repelled"" in paragraph 3 is used to show that migrants were ____________.",pulled in,15,0,226,0.066,0,
"""Repelled"" in paragraph 3 is used to show that migrants were ____________.",pushed away,149,149,226,0.659,1,
"""Run"" used here is closest in meaning to ____________.",be in charge,34,0,226,0.15,0,complete
"""Run"" used here is closest in meaning to ____________.",complete,108,108,226,0.478,1,
"""Run"" used here is closest in meaning to ____________.",move about,31,0,226,0.137,0,
"""Run"" used here is closest in meaning to ____________.",I don't know,31,0,226,0.137,0,
"""Run"" used here is closest in meaning to ____________.",pass,22,0,226,0.097,0,
"""Running"" in paragraph 1 shows that Eric Schmidt ____________ Google.",chased after,21,0,226,0.093,0,managed
"""Running"" in paragraph 1 shows that Eric Schmidt ____________ Google.",followed,24,0,226,0.106,0,
"""Running"" in paragraph 1 shows that Eric Schmidt ____________ Google.",managed,96,96,226,0.425,1,
"""Running"" in paragraph 1 shows that Eric Schmidt ____________ Google.",I don't know,30,0,226,0.133,0,
"""Running"" in paragraph 1 shows that Eric Schmidt ____________ Google.",worked at,55,0,226,0.243,0,
"""Sensationalism"" in paragraph 1 is described as ____________.",I don't know,202,0,202,1,0,shocking and attention-seeking
"""Set the standard"" is used here to say that ____________.",better hybrid cars have been built since this car was first built,35,0,226,0.155,0,this car is the best example of what a hybrid car should be
"""Set the standard"" is used here to say that ____________.",I don't know,33,0,226,0.146,0,
"""Set the standard"" is used here to say that ____________.",there is no need for more hybrid cars to be built from now on,40,0,226,0.177,0,
"""Set the standard"" is used here to say that ____________.",this car has only the basic features of a hybrid car,17,0,226,0.075,0,
"""Set the standard"" is used here to say that ____________.",this car is the best example of what a hybrid car should be,101,101,226,0.447,1,
"""She works harder than most of them do,"" he says, comparing the pet favorably to some people.",hard,48,0,226,0.212,0,harder
"""She works harder than most of them do,"" he says, comparing the pet favorably to some people.",harder,139,139,226,0.615,1,
"""She works harder than most of them do,"" he says, comparing the pet favorably to some people.",hardest,11,0,226,0.049,0,
"""She works harder than most of them do,"" he says, comparing the pet favorably to some people.",I don't know,17,0,226,0.075,0,
"""She works harder than most of them do,"" he says, comparing the pet favorably to some people.",the harder,11,0,226,0.049,0,
"""Since then"" in paragraph 3 refers to what point in time?",4/1/10 0:00,35,0,240,0.146,0,A year ago
"""Since then"" in paragraph 3 refers to what point in time?",A year ago,116,116,240,0.483,1,
"""Since then"" in paragraph 3 refers to what point in time?",July of this year,26,0,240,0.108,0,
"""Since then"" in paragraph 3 refers to what point in time?",The real estate boom,25,0,240,0.104,0,
"""Since then"" in paragraph 3 refers to what point in time?",I don't know,38,0,240,0.158,0,
"""Strange bird"" is most likely used to describe someone who ____________.",I don't know,240,0,240,1,0,has odd or eccentric qualities
"""Stressed"" in paragraph 4 is closest in meaning to ____________.",accented,12,0,202,0.059,0,emphasized
"""Stressed"" in paragraph 4 is closest in meaning to ____________.",emphasized,100,100,202,0.495,1,
"""Stressed"" in paragraph 4 is closest in meaning to ____________.",I don't know,28,0,202,0.139,0,
"""Stressed"" in paragraph 4 is closest in meaning to ____________.",pressured,31,0,202,0.153,0,
"""Stressed"" in paragraph 4 is closest in meaning to ____________.",strained,31,0,202,0.153,0,
"""Sweep"" in paragraphs 1 and 3 is closest in meaning to ____________.",brush,13,0,226,0.058,0,win
"""Sweep"" in paragraphs 1 and 3 is closest in meaning to ____________.",clean,22,0,226,0.097,0,
"""Sweep"" in paragraphs 1 and 3 is closest in meaning to ____________.",clear,15,0,226,0.066,0,
"""Sweep"" in paragraphs 1 and 3 is closest in meaning to ____________.",I don't know,32,0,226,0.142,0,
"""Sweep"" in paragraphs 1 and 3 is closest in meaning to ____________.",win,144,144,226,0.637,1,
"""Thematic"" in paragraph 3 is closest in meaning to ____________.",based on a story,96,96,218,0.44,1,based on a story
"""Thematic"" in paragraph 3 is closest in meaning to ____________.",based on directions,19,0,218,0.087,0,
"""Thematic"" in paragraph 3 is closest in meaning to ____________.",I don't know,30,0,218,0.138,0,
"""Thematic"" in paragraph 3 is closest in meaning to ____________.",the interview,14,0,218,0.064,0,
"""Thematic"" in paragraph 3 is closest in meaning to ____________.",using social media,59,0,218,0.271,0,
"""Trumping"" used here is closest in meaning to ____________.",I don't know,274,0,274,1,0,being preferred over something else
"""Uninitiated"" in paragraph 5 is used to describe ____________.",I don't know,42,0,218,0.193,0,people who have never used toilets that warm the seats
"""Uninitiated"" in paragraph 5 is used to describe ____________.",people who have never used toilets that warm the seats,79,79,218,0.362,1,
"""Uninitiated"" in paragraph 5 is used to describe ____________.",people who have stopped using toilets that warm the seats,39,0,218,0.179,0,
"""Uninitiated"" in paragraph 5 is used to describe ____________.",toilets that never warmed the seats,30,0,218,0.138,0,
"""Uninitiated"" in paragraph 5 is used to describe ____________.",toilets that no longer warm the seats,28,0,218,0.128,0,
"""Weighed"" in paragraph 2 is closest in meaning to ____________.",considered,81,81,226,0.358,1,considered
"""Weighed"" in paragraph 2 is closest in meaning to ____________.",increased,55,0,226,0.243,0,
"""Weighed"" in paragraph 2 is closest in meaning to ____________.",measured,27,0,226,0.119,0,
"""Weighed"" in paragraph 2 is closest in meaning to ____________.",I don't know,35,0,226,0.155,0,
"""Weighed"" in paragraph 2 is closest in meaning to ____________.",scaled,28,0,226,0.124,0,
"""Well up"" as used in paragraph 3 states that ____________.",2010 figures are higher than current figures,42,0,218,0.193,0,2010 figures are lower than current figures
"""Well up"" as used in paragraph 3 states that ____________.",2010 figures are lower than current figures,50,50,218,0.229,1,
"""Well up"" as used in paragraph 3 states that ____________.",2010 figures are similar to current figures,35,0,218,0.161,0,
"""Well up"" as used in paragraph 3 states that ____________.",current figures make 2010 figures seem inaccurate,50,0,218,0.229,0,
"""Well up"" as used in paragraph 3 states that ____________.",I don't know,41,0,218,0.188,0,
"""Withstood"" in paragraph 3 is closest in meaning to be ____________ something.",I don't know,45,0,240,0.188,0,unaffected by
"""Withstood"" in paragraph 3 is closest in meaning to be ____________ something.",removed from,64,0,240,0.267,0,
"""Withstood"" in paragraph 3 is closest in meaning to be ____________ something.",stronger than,32,0,240,0.133,0,
"""Withstood"" in paragraph 3 is closest in meaning to be ____________ something.",supportive of,28,0,240,0.117,0,
"""Withstood"" in paragraph 3 is closest in meaning to be ____________ something.",unaffected by,71,71,240,0.296,1,
(no article) certain curricula that intend to meet the individual needs of children in special education programs are highly favorable.,(no article),103,103,240,0.429,1,(no article)
(no article) certain curricula that intend to meet the individual needs of children in special education programs are highly favorable.,a,19,0,240,0.079,0,
(no article) certain curricula that intend to meet the individual needs of children in special education programs are highly favorable.,an,25,0,240,0.104,0,
(no article) certain curricula that intend to meet the individual needs of children in special education programs are highly favorable.,I don't know,22,0,240,0.092,0,
(no article) certain curricula that intend to meet the individual needs of children in special education programs are highly favorable.,the,71,0,240,0.296,0,
A little white lie is not always harmless. Telling the truth is important at all times.,(no article),11,0,218,0.05,0,the
A little white lie is not always harmless. Telling the truth is important at all times.,a,32,0,218,0.147,0,
A little white lie is not always harmless. Telling the truth is important at all times.,an,45,0,218,0.206,0,
A little white lie is not always harmless. Telling the truth is important at all times.,I don't know,25,0,218,0.115,0,
A little white lie is not always harmless. Telling the truth is important at all times.,the,105,105,218,0.482,1,
A press release is scheduled to happen sometime this week.,I don't know,190,0,190,1,0,sometime
"A sales ""rep"" is short for ____________.",I don't know,19,0,226,0.084,0,representative
"A sales ""rep"" is short for ____________.",repetition,36,0,226,0.159,0,
"A sales ""rep"" is short for ____________.",representative,107,107,226,0.473,1,
"A sales ""rep"" is short for ____________.",reptile,21,0,226,0.093,0,
"A sales ""rep"" is short for ____________.",reputation,43,0,226,0.19,0,
A winner will then be chosen by a jury including Scott and Michael Fassbender.,be choosing,13,0,274,0.047,0,be chosen
A winner will then be chosen by a jury including Scott and Michael Fassbender.,be chosen,176,176,274,0.642,1,
A winner will then be chosen by a jury including Scott and Michael Fassbender.,choose,40,0,274,0.146,0,
A winner will then be chosen by a jury including Scott and Michael Fassbender.,choosing,20,0,274,0.073,0,
A winner will then be chosen by a jury including Scott and Michael Fassbender.,I don't know,25,0,274,0.091,0,
"According to Obama, dependence on foreign oil ____________.",has strengthened national security,26,0,274,0.095,0,will weaken the economy
"According to Obama, dependence on foreign oil ____________.",is good,52,0,274,0.19,0,
"According to Obama, dependence on foreign oil ____________.",is something the government cannot stop,12,0,274,0.044,0,
"According to Obama, dependence on foreign oil ____________.",I don't know,26,0,274,0.095,0,
"According to Obama, dependence on foreign oil ____________.",will weaken the economy,158,158,274,0.577,1,
"According to health officials, what should residents drink during a heat wave?",Coffee,23,0,396,0.058,0,Water
"According to health officials, what should residents drink during a heat wave?",Juice,21,0,396,0.053,0,
"According to health officials, what should residents drink during a heat wave?",Soda,12,0,396,0.03,0,
"According to health officials, what should residents drink during a heat wave?",Water,259,259,396,0.654,1,
"According to health officials, what should residents drink during a heat wave?",I don't know,81,0,396,0.205,0,
"According to the article, what will most likely happen next?",David George will name other professional cyclists who used blood-boosting drugs.,53,53,226,0.235,1,David George will name other professional cyclists who used blood-boosting drugs.
"According to the article, what will most likely happen next?",David George will take another blood test to prove that he has not taken blood-boosting drugs.,48,0,226,0.212,0,
"According to the article, what will most likely happen next?",SAIDS will prevent David George from giving any more information.,57,0,226,0.252,0,
"According to the article, what will most likely happen next?",The USADA will sponsor David George due to his suspension from Cycling South Africa.,32,0,226,0.142,0,
"According to the article, what will most likely happen next?",I don't know,36,0,226,0.159,0,
"According to the passage, the participants in the study ____________.",learned their second language before age 11,37,0,202,0.183,0,were given two rounds of intelligence tests
"According to the passage, the participants in the study ____________.",I don't know,25,0,202,0.124,0,
"According to the passage, the participants in the study ____________.",performed differently because of their age differences,59,0,202,0.292,0,
"According to the passage, the participants in the study ____________.",were divided into two groups based on intelligence,30,0,202,0.149,0,
"According to the passage, the participants in the study ____________.",were given two rounds of intelligence tests,51,51,202,0.252,1,
"According to the study, the more texts 10-to-14-year-olds sent, the worse their grammar performance.",I don't know,190,0,190,1,0,the worse
"According to the study, why did the bilinguals outperform the monolinguals?",Being bilingual helps slow their rate of cognitive decline.,98,98,202,0.485,1,Being bilingual helps slow their rate of cognitive decline.
"According to the study, why did the bilinguals outperform the monolinguals?",Learning a new language reduced their cognitive ability.,11,0,202,0.054,0,
"According to the study, why did the bilinguals outperform the monolinguals?",These participants were the most intelligent people to have learned a new language.,42,0,202,0.208,0,
"According to the study, why did the bilinguals outperform the monolinguals?",They had learned their second language before age 18.,28,0,202,0.139,0,
"According to the study, why did the bilinguals outperform the monolinguals?",I don't know,23,0,202,0.114,0,
"According to this article, Bolt was the first __________.",Jamaican to win the 200,24,0,226,0.106,0,man to win two Olympic titles in the 200
"According to this article, Bolt was the first __________.",man to beat Yohan Blake in a race,7,0,226,0.031,0,
"According to this article, Bolt was the first __________.",man to run 200 meters under 20 seconds,27,0,226,0.119,0,
"According to this article, Bolt was the first __________.",man to win two Olympic titles in the 200,142,142,226,0.628,1,
"According to this article, Bolt was the first __________.",I don't know,26,0,226,0.115,0,
"According to this passage, rumor has it that ____________.",Apple has been approved to release the iWatch,35,0,240,0.146,0,an Apple smart watch would use the same technology as the iPhone and iPad
"According to this passage, rumor has it that ____________.","Japan is opening a store that sells the iWatch, iPhone, and iPad",17,0,240,0.071,0,
"According to this passage, rumor has it that ____________.",an Apple smart watch would use the same technology as the iPhone and iPad,133,133,240,0.554,1,
"According to this passage, rumor has it that ____________.",I don't know,35,0,240,0.146,0,
"According to this passage, rumor has it that ____________.",the iWatch is being illegally produced in Japan,20,0,240,0.083,0,
"According to this passage, what do Republicans plan to focus on?",Abortion laws,33,0,218,0.151,0,Economic solutions
"According to this passage, what do Republicans plan to focus on?",Economic solutions,113,113,218,0.518,1,
"According to this passage, what do Republicans plan to focus on?",Foreign policy,31,0,218,0.142,0,
"According to this passage, what do Republicans plan to focus on?",Immigration reform,13,0,218,0.06,0,
"According to this passage, what do Republicans plan to focus on?",I don't know,28,0,218,0.128,0,
"According to this passage, what happened when Brazil boycotted Google?",Brazilian news organizations experienced hardly any losses.,109,109,274,0.398,1,Brazilian news organizations experienced hardly any losses.
"According to this passage, what happened when Brazil boycotted Google?",Brazilian news organizations lost a large amount of revenue.,27,0,274,0.099,0,
"According to this passage, what happened when Brazil boycotted Google?",Google agreed to pay Brazilian news organizations to have their content appear in the search engine.,76,0,274,0.277,0,
"According to this passage, what happened when Brazil boycotted Google?",Google banned Brazilian news organizations from appearing in the search engine.,30,0,274,0.109,0,
"According to this passage, what happened when Brazil boycotted Google?",I don't know,32,0,274,0.117,0,
"According to this passage, what is Samsung planning to do?",Make bigger screens,23,0,202,0.114,0,Release a new smartphone
"According to this passage, what is Samsung planning to do?",Partner with LG,17,0,202,0.084,0,
"According to this passage, what is Samsung planning to do?",Reinvent music playlists,23,0,202,0.114,0,
"According to this passage, what is Samsung planning to do?",Release a new smartphone,123,123,202,0.609,1,
"According to this passage, what is Samsung planning to do?",I don't know,16,0,202,0.079,0,
"According to this passage, what is special about this car?",It is the last car sold in America to get 50 miles per gallon.,54,0,226,0.239,0,There is no other car sold in America that has a higher mileage than this car.
"According to this passage, what is special about this car?",There is no other car sold in America that has a higher mileage than this car.,63,63,226,0.279,1,
"According to this passage, what is special about this car?",This car was the only one to be showcased at the North American International Auto Show.,43,0,226,0.19,0,
"According to this passage, what is special about this car?",This generation of this car will be the last.,28,0,226,0.124,0,
"According to this passage, what is special about this car?",I don't know,38,0,226,0.168,0,
"According to this passage, what is true about the competition?",The competition is searching for the most luxurious version of current high-tech toilets.,33,0,218,0.151,0,The winning design will be affordable for developing countries.
"According to this passage, what is true about the competition?",The competition seeks to find a toilet that will amaze foreigners.,31,0,218,0.142,0,
"According to this passage, what is true about the competition?",The winning design will be affordable for developing countries.,79,79,218,0.362,1,
"According to this passage, what is true about the competition?",The winning design will be decided by women who consider current toilets unsafe for them.,39,0,218,0.179,0,
"According to this passage, what is true about the competition?",I don't know,36,0,218,0.165,0,
"According to this passage, who is Samsung's rival?",Galaxy,15,0,202,0.074,0,LG
"According to this passage, who is Samsung's rival?",LG,133,133,202,0.658,1,
"According to this passage, who is Samsung's rival?",OLED,8,0,202,0.04,0,
"According to this passage, who is Samsung's rival?",South Korea,30,0,202,0.149,0,
"According to this passage, who is Samsung's rival?",I don't know,16,0,202,0.079,0,
Advanced Investments is essential for serious investors and asset managers who delegate management of their money to a professional.,about,37,0,202,0.183,0,for
Advanced Investments is essential for serious investors and asset managers who delegate management of their money to a professional.,for,116,116,202,0.574,1,
Advanced Investments is essential for serious investors and asset managers who delegate management of their money to a professional.,in,12,0,202,0.059,0,
Advanced Investments is essential for serious investors and asset managers who delegate management of their money to a professional.,I don't know,12,0,202,0.059,0,
Advanced Investments is essential for serious investors and asset managers who delegate management of their money to a professional.,with,25,0,202,0.124,0,
"Advertisements that are likely to cause people to have ""body confidence issues"" will be banned from London's public transport network from next month, mayor Sadiq Khan announced on Monday.",I don't know,218,0,218,1,0,from
After the meeting we're going to sit down to discuss the results.,down,159,159,218,0.729,1,down
After the meeting we're going to sit down to discuss the results.,I don't know,20,0,218,0.092,0,
After the meeting we're going to sit down to discuss the results.,on,10,0,218,0.046,0,
After the meeting we're going to sit down to discuss the results.,over,13,0,218,0.06,0,
After the meeting we're going to sit down to discuss the results.,through,16,0,218,0.073,0,
"Alberto Alonso wants a ""chance"" (paragraph 4) to ____________.",build a team that can successfully execute his plans,19,0,218,0.087,0,show that his computer can be useful to the Mexican stock market
"Alberto Alonso wants a ""chance"" (paragraph 4) to ____________.",make Mexico a place where technology can thrive,46,0,218,0.211,0,
"Alberto Alonso wants a ""chance"" (paragraph 4) to ____________.",I don't know,35,0,218,0.161,0,
"Alberto Alonso wants a ""chance"" (paragraph 4) to ____________.",prove that he can be a successful trader,36,0,218,0.165,0,
"Alberto Alonso wants a ""chance"" (paragraph 4) to ____________.",show that his computer can be useful to the Mexican stock market,82,82,218,0.376,1,
All motion sickness results from your body sensing a discrepancy between what you see and what you feel.,besides,28,0,240,0.117,0,between
All motion sickness results from your body sensing a discrepancy between what you see and what you feel.,between,113,113,240,0.471,1,
All motion sickness results from your body sensing a discrepancy between what you see and what you feel.,despite,22,0,240,0.092,0,
All motion sickness results from your body sensing a discrepancy between what you see and what you feel.,during,40,0,240,0.167,0,
All motion sickness results from your body sensing a discrepancy between what you see and what you feel.,I don't know,37,0,240,0.154,0,
All students are responsible for finding their own mentor.,her,11,0,240,0.046,0,their
All students are responsible for finding their own mentor.,his,57,0,240,0.238,0,
All students are responsible for finding their own mentor.,I don't know,21,0,240,0.088,0,
All students are responsible for finding their own mentor.,our,31,0,240,0.129,0,
All students are responsible for finding their own mentor.,their,120,120,240,0.5,1,
"Although everyone has a say in this issue, the judge will be making the final decision.",Although,85,85,190,0.447,1,Although
"Although everyone has a say in this issue, the judge will be making the final decision.",However,33,0,190,0.174,0,
"Although everyone has a say in this issue, the judge will be making the final decision.",Nonetheless,12,0,190,0.063,0,
"Although everyone has a say in this issue, the judge will be making the final decision.",Wherever,39,0,190,0.205,0,
"Although everyone has a say in this issue, the judge will be making the final decision.",I don't know,21,0,190,0.111,0,
An example of this blurred line between fashion and its representation is the collection of over four hundred photographs by Pierre-Louis Pierson.,around,40,0,226,0.177,0,between
An example of this blurred line between fashion and its representation is the collection of over four hundred photographs by Pierre-Louis Pierson.,between,123,123,226,0.544,1,
An example of this blurred line between fashion and its representation is the collection of over four hundred photographs by Pierre-Louis Pierson.,from,22,0,226,0.097,0,
An example of this blurred line between fashion and its representation is the collection of over four hundred photographs by Pierre-Louis Pierson.,I don't know,28,0,226,0.124,0,
An example of this blurred line between fashion and its representation is the collection of over four hundred photographs by Pierre-Louis Pierson.,over,13,0,226,0.058,0,
An important part of networking is building relationships.,build,55,0,445,0.124,0,building
An important part of networking is building relationships.,building,213,213,445,0.479,1,
An important part of networking is building relationships.,builds,33,0,445,0.074,0,
An important part of networking is building relationships.,I don't know,85,0,445,0.191,0,
An important part of networking is building relationships.,to build,59,0,445,0.133,0,
An important part of parenting is listening to your children.,I don't know,9,0,218,0.041,0,parenting
An important part of parenting is listening to your children.,parent,60,0,218,0.275,0,
An important part of parenting is listening to your children.,parenting,89,89,218,0.408,1,
An important part of parenting is listening to your children.,to parent,32,0,218,0.147,0,
An important part of parenting is listening to your children.,to parenting,28,0,218,0.128,0,
An international gas market is developing. Buyers will gain more than sellers.,few,10,0,202,0.05,0,more
An international gas market is developing. Buyers will gain more than sellers.,fewer,7,0,202,0.035,0,
An international gas market is developing. Buyers will gain more than sellers.,more,151,151,202,0.748,1,
An international gas market is developing. Buyers will gain more than sellers.,most,22,0,202,0.109,0,
An international gas market is developing. Buyers will gain more than sellers.,I don't know,12,0,202,0.059,0,
Angela is going to the doctor's office ____________.,as soon as she hangs up,37,0,396,0.093,0,today
Angela is going to the doctor's office ____________.,I don't know,41,0,396,0.104,0,
Angela is going to the doctor's office ____________.,next week,33,0,396,0.083,0,
Angela is going to the doctor's office ____________.,today,265,265,396,0.669,1,
Angela is going to the doctor's office ____________.,tomorrow,20,0,396,0.051,0,
Animals can be a great way to get the viewer to stop skipping through the commercials on their DVR or delay a trip to the fridge during a commercial break.,across,22,0,226,0.097,0,through
Animals can be a great way to get the viewer to stop skipping through the commercials on their DVR or delay a trip to the fridge during a commercial break.,beside,50,0,226,0.221,0,
Animals can be a great way to get the viewer to stop skipping through the commercials on their DVR or delay a trip to the fridge during a commercial break.,for,24,0,226,0.106,0,
Animals can be a great way to get the viewer to stop skipping through the commercials on their DVR or delay a trip to the fridge during a commercial break.,I don't know,34,0,226,0.15,0,
Animals can be a great way to get the viewer to stop skipping through the commercials on their DVR or delay a trip to the fridge during a commercial break.,through,96,96,226,0.425,1,
